dataset_name,random_state,cm_tr,cm_ts
wf24f,1530937790,"[1491  261    0   12  440 1231    2    4  170   69   23    0  460  116
    0   85]",[372  63   0   6 117 302   0   1  44  20   2   0 120  35   0  10]
wf24f,823797517,"[1492  265    0    7  449 1224    2    2  169   71   22    0  477  117
    0   67]",[365  71   0   5 102 317   0   1  48  18   0   0 127  24   0  14]
wf4f,844867540,"[1422  334    0    8    3 1663   11    0  168   30   64    0  599   46
    0   16]",[356  85   0   0   0 413   7   0  42   4  20   0 150  10   0   5]
wf24f,2026330702,"[1493  257    0   14  465 1208    2    2  174   73   15    0  461  124
    0   76]",[375  63   0   3 106 312   2   0  43  16   7   0 118  31   0  16]
wf24f,1090505867,"[1467  285    0   12  438 1234    3    2  173   74   15    0  453  131
    0   77]",[367  70   0   4 105 314   0   1  52  12   2   0 106  41   0  18]
wf4f,292988335,"[1425  333    0    6    1 1663   13    0  170   24   68    0  604   36
    0   21]",[353  86   0   2   1 414   5   0  40  10  16   0 145  11   0   9]
wf24f,133006160,"[1482  269    0   13  455 1217    1    4  177   75   10    0  453  125
    0   83]",[368  68   0   5 112 307   0   1  47  17   2   0 116  32   0  17]
wf24f,1947729121,"[1509  243    0   12  486 1185    1    5  171   65   26    0  451  126
    0   84]",[371  65   0   5 127 291   2   0  45  15   6   0 118  26   0  21]
wf4f,1980932681,"[1422  337    0    5    2 1660   15    0  163   24   75    0  597   39
    0   25]",[355  83   0   3   1 416   3   0  46  11   9   0 152   8   0   5]
wf24f,1374845114,"[1497  256    0   11  457 1217    1    2  176   75   11    0  473  123
    0   65]",[370  68   0   3 122 295   1   2  45  19   2   0 118  31   0  16]
wf24f,567860406,"[1513  242    0    9  460 1213    1    3  174   69   19    0  496  114
    0   51]",[390  49   0   2 130 289   1   0  39  25   2   0 132  26   0   7]
wf4f,829986915,"[1422  335    0    7    2 1660   15    0  162   30   70    0  604   41
    0   16]",[349  91   0   1   0 417   3   0  49   3  14   0 147  14   0   4]
wf24f,1291312215,"[1499  252    0   13  452 1222    2    1  172   69   21    0  465  130
    0   66]",[369  69   0   3 112 308   0   0  42  19   5   0 107  35   0  23]
wf24f,536714102,"[1504  246    0   14  443 1223    2    9  175   73   14    0  463  119
    0   79]",[370  68   0   3 113 304   0   3  42  16   8   0 123  24   0  18]
wf4f,254628334,"[1421  335    0    8    2 1661   14    0  164   24   74    0  604   39
    0   18]",[356  85   0   0   0 416   4   0  46  10  10   0 153   9   0   3]
wf24f,1000819612,"[1471  281    0   12  453 1220    2    2  175   68   19    0  455  127
    0   79]",[362  74   0   5 104 315   1   0  44  18   4   0 112  34   0  19]
wf24f,164662770,"[1505  249    0   10  462 1211    1    3  175   79    8    0  472  116
    0   73]",[369  65   0   7 127 292   0   1  44  17   5   0 110  35   0  20]
wf24f,2007166991,"[1488  265    0   11  451 1223    3    0  168   71   23    0  470  124
    0   67]",[376  62   0   3 115 303   0   2  39  21   6   0 104  37   0  24]wf4f,879897629,"[1423  336    0    5    1 1659   17    0  169   26   67    0  605   38
    0   18]",[350  88   0   3   0 419   1   0  42   7  17   0 153   6   0   6]
wf24f,1551589007,"[1499  256    0    9  477 1194    3    3  170   65   27    0  475  122
    0   64]",[373  61   0   7 121 299   0   0  38  23   5   0 118  24   0  23]
